trade_number,entry_type,entry_price,entry_date,entry_time,exit_type,exit_price,exit_date,exit_time,size,pnl,pnl_percentage
181,SELL,123.64000000000001,2025-03-31,13:45:00,BUY,125.43,2025-03-31,14:00:00,71.72613314525641,-128.3897783300084,-1.4477515367195015
182,SELL,124.01,2025-03-31,18:00:00,BUY,125.82,2025-03-31,20:45:00,70.40318135011357,-127.42975824370473,-1.4595597129263673
183,SELL,125.31,2025-03-31,21:00:00,BUY,126.02999999999999,2025-03-31,21:15:00,68.5677665918578,-49.36879194613657,-0.5745750538663991
184,SELL,125.15,2025-03-31,22:15:00,BUY,126.15999999999998,2025-04-01,03:00:00,68.14440993883376,-68.82585403822051,-0.8070315621254308
185,SELL,126.59999999999998,2025-04-01,12:45:00,BUY,128.43,2025-04-01,15:30:00,66.72433399312385,-122.10553120741842,-1.4454976303317748
186,SELL,126.21000000000001,2025-04-01,18:15:00,BUY,126.94,2025-04-01,23:45:00,65.88332586426654,-48.0948278809139,-0.5784010775691226
187,SELL,126.6,2025-04-02,00:00:00,BUY,125.37,2025-04-02,08:45:00,65.1943129944455,80.1890049831673,0.971563981042646
188,SELL,125.4,2025-04-02,21:15:00,BUY,115.67,2025-04-03,18:45:00,66.30651502781608,645.1623912206506,7.759170653907499
189,SELL,114.87,2025-04-04,02:00:00,BUY,116.47,2025-04-04,06:00:00,77.58917730279126,-124.14268368446557,-1.3928789065900533
190,SELL,114.96000000000001,2025-04-04,11:00:00,BUY,117.36,2025-04-04,15:00:00,76.3408310797164,-183.2179945913187,-2.0876826722338127
191,SELL,122.06,2025-04-05,01:15:00,BUY,121.55,2025-04-05,09:15:00,70.34821407284412,35.87758917715086,0.41782729805014346
192,SELL,119.98,2025-04-05,11:15:00,BUY,119.11,2025-04-05,19:15:00,71.7043302383544,62.38276730736865,0.725120853475583
